Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.168,  0.04,  0.00,0,  0.00,     0
 0.261,  0.02,  0.00,0,  0.00,    33
 0.996,  0.14,  3.01,1, 59.24,    28
 0.223,  0.02,  0.00,0,  0.00,    37
 0.809,  0.02,  0.00,0,  0.00,    14
 0.086,  0.00,  0.00,0,  0.00,     0
 0.147,  0.04,  0.00,0,  0.00,     0
 0.130,  0.00,  0.00,0,  0.00,     0
 0.492,  0.34,  0.00,0,  0.00,    84
 0.068,  0.00,  0.00,0,  0.00,     0
 0.165,  0.00,  0.00,0,  0.00,     0
 1.026,  0.04,  1.95,1, 22.44,    39
 0.545,  0.25,  5.51,1, 64.12,    38
 0.319,  0.02,  0.00,0,  0.00,    49
 0.373,  0.02,  0.00,0,  0.00,    17
 0.081,  0.00,  0.00,0,  0.00,     0
 0.243,  0.49,  0.00,0,  0.00,     0
 0.141,  0.04,  0.00,0,  0.00,     0
 0.228,  0.04,  0.00,0,  0.00,    31
 0.101,  0.00,  0.00,0,  0.00,     0
 1.149,  0.01,  0.00,0,  0.00,    20
 0.248,  0.02,  0.00,0,  0.00,    29
 0.068,  0.00,  0.00,0,  0.00,     0
 0.099,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.459,  0.03,  0.00,0,  0.00,    36
 0.081,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.286,  0.25,  0.00,0,  0.00,    33
 0.815,  0.06,  3.68,2, 45.30,    21
 0.126,  0.00,  0.00,0,  0.00,     0
 0.088,  0.00,  0.00,0,  0.00,     0
 0.762,  0.04,  1.31,1, 20.12,    40
 0.803,  0.02,  0.00,0,  0.00,    34
 0.209,  0.03,  0.00,0,  0.00,    26
